Places,Population,radius(in m), time(in next 20 minute) ,Average Priority Of accident,Covid Cases,Accident Probability
1002,9792,1000,0.99,3,2663,0.723115679
1003,37,100,0,6,12,0.028632811
1003,37,100,0.01,5,10,0.029978668
1003,37,100,0.03,2,12,0.030162591
1003,37,100,0.04,7,10,0.030027752
1003,37,100,0.06,9,12,0.029535221
1003,37,100,0.07,7,11,0.03023255
1003,37,100,0.08,9,12,0.029160886
1003,37,100,0.1,5,12,0.02865284
1003,37,100,0.11,6,13,0.030393624
1003,37,100,0.13,3,10,0.030267811
1003,37,100,0.14,9,12,0.029556096
1003,37,100,0.15,4,10,0.02893211
1003,37,100,0.17,6,13,0.028937752
1003,37,100,0.18,5,10,0.029674292
1003,37,100,0.19,9,13,0.030360337
1003,37,100,0.21,9,10,0.028784858
1003,37,100,0.22,4,12,0.029436771
1003,37,100,0.24,2,10,0.028982322
1003,37,100,0.25,8,12,0.029075694
1003,37,100,0.26,5,11,0.029893194
1003,37,100,0.28,7,13,0.029990798
1003,37,100,0.29,5,11,0.02928021
1003,37,100,0.31,4,13,0.029088389
1003,37,100,0.32,10,10,0.028836199
1003,37,100,0.33,8,13,0.028939727
1003,37,100,0.35,8,9,0.029481059
1003,37,100,0.36,10,13,0.028940573
1003,37,100,0.38,10,10,0.028869486
1003,37,100,0.39,9,13,0.029271748
1003,37,100,0.4,9,10,0.02942041
1003,37,100,0.42,3,12,0.029881911
1003,37,100,0.43,5,10,0.028901926
1003,37,100,0.44,3,12,0.030142845
1003,37,100,0.46,10,10,0.029143678
1003,37,100,0.47,8,13,0.029886424
1003,37,100,0.49,9,10,0.02925313
1003,37,100,0.5,1,12,0.028676536
1003,37,100,0.51,10,9,0.030299124
1003,37,100,0.53,4,12,0.029811106
1003,37,100,0.54,8,10,0.028923929
1003,37,100,0.56,5,12,0.029435078
1003,37,100,0.57,9,9,0.029737198
1003,37,100,0.58,5,12,0.029213637
1003,37,100,0.6,7,11,0.029671471
1003,37,100,0.61,6,12,0.029395304
1003,37,100,0.63,4,12,0.029504191
1003,37,100,0.64,7,12,0.029028021
1003,37,100,0.65,8,11,0.030377827
1003,37,100,0.67,10,12,0.028831121
1003,37,100,0.68,10,10,0.029008275
1003,37,100,0.69,1,13,0.028898259
1003,37,100,0.71,4,10,0.028735493
1003,37,100,0.72,1,12,0.030398702
1003,37,100,0.74,4,11,0.029762868
1003,37,100,0.75,2,13,0.029110674
1003,37,100,0.76,10,10,0.029593896
1003,37,100,0.78,5,12,0.029862164
1003,37,100,0.79,9,12,0.028614193
1003,37,100,0.81,6,12,0.029741712
1003,37,100,0.82,6,11,0.029994747
1003,37,100,0.83,10,12,0.030006595
1003,37,100,0.85,4,10,0.029475135
1003,37,100,0.86,5,12,0.029943689
1003,37,100,0.88,8,11,0.029204328
1003,37,100,0.89,5,12,0.030218445
1003,37,100,0.9,2,9,0.029772177
1003,37,100,0.92,10,12,0.029045229
1003,37,100,0.93,7,10,0.028767369
1003,37,100,0.94,10,12,0.029204328
1003,37,100,0.96,8,11,0.029426898
1003,37,100,0.97,1,13,0.029305034
1003,37,100,0.99,10,10,0.029431693
1003,138,200,0,3,47,0.037575501
1003,138,200,0.01,6,42,0.035880084
1003,138,200,0.03,7,47,0.038015589
1003,138,200,0.04,7,37,0.037763959
1003,138,200,0.06,9,47,0.036606036
1003,138,200,0.07,9,41,0.036801553
1003,138,200,0.08,4,46,0.037574089
1003,138,200,0.1,5,37,0.037673965
1003,138,200,0.11,8,49,0.0373214
1003,138,200,0.13,4,38,0.037540209
1003,138,200,0.14,7,47,0.036507572
1003,138,200,0.15,3,37,0.036517454
1003,138,200,0.17,5,49,0.03601137
1003,138,200,0.18,7,38,0.037153059
1003,138,200,0.19,1,48,0.036732734
1003,138,200,0.21,6,38,0.03783666
1003,138,200,0.22,6,49,0.037417394
1003,138,200,0.24,10,36,0.036027604
1003,138,200,0.25,10,49,0.037753019
1003,138,200,0.26,3,38,0.037731491
1003,138,200,0.28,6,45,0.035988783
1003,138,200,0.29,4,40,0.036825551
1003,138,200,0.31,8,45,0.036727793
1003,138,200,0.32,1,37,0.035812677
1003,138,200,0.33,4,45,0.037609381
1003,138,200,0.35,2,37,0.037465038
1003,138,200,0.36,5,49,0.037603735
1003,138,200,0.38,10,40,0.037391631
1003,138,200,0.39,6,47,0.036125362
1003,138,200,0.4,6,41,0.037122355
1003,138,200,0.42,10,49,0.036011723
1003,138,200,0.43,8,45,0.03708918
1003,138,200,0.44,2,47,0.036388286
1003,138,200,0.46,10,36,0.03760197
1003,138,200,0.47,7,46,0.037422688
1003,138,200,0.49,5,38,0.036125715
1003,138,200,0.5,8,45,0.036109834
1003,138,200,0.51,10,37,0.036483574
1003,138,200,0.53,2,49,0.036032192
1003,138,200,0.54,5,39,0.037064829
1003,138,200,0.56,6,45,0.036345583
1003,138,200,0.57,10,42,0.037860659
1003,138,200,0.58,9,50,0.037493977
1003,138,200,0.6,6,45,0.036758144
1003,138,200,0.61,1,48,0.037822896
1003,138,200,0.63,10,36,0.036937779
1003,138,200,0.64,3,47,0.036447576
1003,138,200,0.65,1,39,0.036325114
1003,138,200,0.67,9,50,0.036958954
1003,138,200,0.68,5,36,0.035859968
1003,138,200,0.69,2,47,0.037824308
1003,138,200,0.71,6,37,0.036385816
1003,138,200,0.72,4,48,0.035862791
1003,138,200,0.74,2,42,0.036245354
1003,138,200,0.75,10,48,0.037044713
1003,138,200,0.76,9,42,0.035803854
1003,138,200,0.78,5,49,0.037885363
1003,138,200,0.79,3,36,0.037171057
1003,138,200,0.81,10,49,0.03762491
1003,138,200,0.82,8,40,0.037721256
1003,138,200,0.83,6,46,0.036020899
1003,138,200,0.85,4,39,0.035868438
1003,138,200,0.86,4,45,0.037475625
1003,138,200,0.88,9,38,0.037354222
1003,138,200,0.89,3,50,0.037510211
1003,138,200,0.9,5,44,0.038015589
1003,138,200,0.92,1,45,0.036333231
1003,138,200,0.93,4,43,0.036567921
1003,138,200,0.94,10,45,0.036085835
1003,138,200,0.96,1,41,0.037778429
1003,138,200,0.97,2,49,0.036186417
1003,138,200,0.99,9,40,0.03721376
1003,291,300,0,6,100,0.046680429
1003,291,300,0.01,10,83,0.04771544
1003,291,300,0.03,5,96,0.048214307
1003,291,300,0.04,1,80,0.049266806
1003,291,300,0.06,6,98,0.047961652
1003,291,300,0.07,2,92,0.048808438
1003,291,300,0.08,10,104,0.048431066
1003,291,300,0.1,7,83,0.048897718
1003,291,300,0.11,5,105,0.046987389
1003,291,300,0.13,1,82,0.048090511
1003,291,300,0.14,8,102,0.04815402
1003,291,300,0.15,8,87,0.047296189
1003,291,300,0.17,8,101,0.047800119
1003,291,300,0.18,9,86,0.046892125
1003,291,300,0.19,5,96,0.048095113
1003,291,300,0.21,4,91,0.048428305
1003,291,300,0.22,5,98,0.047986043
1003,291,300,0.24,3,90,0.049112176
1003,291,300,0.25,8,99,0.047249708
1003,291,300,0.26,9,78,0.047343131
1003,291,300,0.28,10,96,0.049547074
1003,291,300,0.29,3,84,0.047746274
1003,291,300,0.31,2,98,0.047546543
1003,291,300,0.32,10,95,0.04936253
1003,291,300,0.33,4,98,0.047196324
1003,291,300,0.35,1,82,0.047436553
1003,291,300,0.36,3,99,0.048093272
1003,291,300,0.38,10,95,0.047266276
1003,291,300,0.39,9,97,0.047126832
1003,291,300,0.4,7,78,0.048543357
1003,291,300,0.42,9,97,0.04958297
1003,291,300,0.43,5,84,0.046686412
1003,291,300,0.44,8,96,0.048797853
1003,291,300,0.46,7,93,0.049573306
1003,291,300,0.47,1,102,0.048217068
1003,291,300,0.49,5,89,0.046616
1003,291,300,0.5,8,98,0.048223511
1003,291,300,0.51,1,85,0.048473865
1003,291,300,0.53,8,104,0.046838741
1003,291,300,0.54,8,86,0.049279232
1003,291,300,0.56,7,103,0.046832298
1003,291,300,0.57,3,84,0.048028383
1003,291,300,0.58,6,96,0.048207404
1003,291,300,0.6,4,90,0.046933544
1003,291,300,0.61,10,96,0.047218414
1003,291,300,0.63,4,82,0.04863724
1003,291,300,0.64,5,102,0.04795613
1003,291,300,0.65,10,76,0.047586121
1003,291,300,0.67,1,103,0.047923915
1003,291,300,0.68,4,95,0.046628425
1003,291,300,0.69,10,104,0.049047747
1003,291,300,0.71,9,77,0.049364371
1003,291,300,0.72,3,101,0.049342281
1003,291,300,0.74,2,91,0.04861515
1003,291,300,0.75,9,96,0.047628921
1003,291,300,0.76,10,86,0.046772011
1003,291,300,0.78,10,103,0.047361539
1003,291,300,0.79,9,84,0.046935845
1003,291,300,0.81,9,104,0.048206023
1003,291,300,0.82,7,85,0.0494288
1003,291,300,0.83,8,97,0.048471104
1003,291,300,0.85,9,90,0.046907772
1003,291,300,0.86,1,100,0.048304048
1003,291,300,0.88,8,82,0.048392408
1003,291,300,0.89,7,97,0.04876978
1003,291,300,0.9,6,76,0.048938677
1003,291,300,0.92,5,97,0.048886673
1003,291,300,0.93,7,92,0.047458183
1003,291,300,0.94,6,98,0.048939597
1003,291,300,0.96,7,83,0.046986928
1003,291,300,0.97,5,102,0.047713599
1003,291,300,0.99,7,80,0.047418145
1003,495,400,0,5,174,0.064472761
1003,495,400,0.01,3,143,0.063404982
1003,495,400,0.03,4,174,0.063944904
1003,495,400,0.04,10,150,0.064494479
1003,495,400,0.06,1,169,0.062281099
1003,495,400,0.07,4,156,0.06383511
1003,495,400,0.08,2,164,0.063289758
1003,495,400,0.1,7,161,0.062114598
1003,495,400,0.11,7,173,0.062660553
1003,495,400,0.13,2,161,0.064270667
1003,495,400,0.14,7,173,0.061434114
1003,495,400,0.15,6,133,0.063474961
1003,495,400,0.17,5,173,0.064023932
1003,495,400,0.18,7,140,0.063946714
1003,495,400,0.19,5,168,0.06212244
1003,495,400,0.21,8,142,0.063761512
1003,495,400,0.22,2,174,0.062808353
1003,495,400,0.24,10,132,0.062194832
1003,495,400,0.25,5,171,0.061489615
1003,495,400,0.26,1,132,0.061604838
1003,495,400,0.28,6,168,0.064754486
1003,495,400,0.29,6,161,0.063727125
1003,495,400,0.31,5,166,0.064994586
1003,495,400,0.32,2,145,0.062168288
1003,495,400,0.33,10,171,0.0612097
1003,495,400,0.35,5,156,0.064047459
1003,495,400,0.36,6,163,0.062456649
1003,495,400,0.38,3,150,0.063794691
1003,495,400,0.39,8,173,0.06232936
1003,495,400,0.4,6,155,0.062250936
1003,495,400,0.42,8,168,0.062620737
1003,495,400,0.43,7,151,0.062938055
1003,495,400,0.44,7,169,0.061276662
1003,495,400,0.46,5,163,0.062015662
1003,495,400,0.47,5,176,0.062118217
1003,495,400,0.49,6,138,0.064397956
1003,495,400,0.5,10,171,0.062290148
1003,495,400,0.51,4,148,0.062773363
1003,495,400,0.53,6,179,0.061635605
1003,495,400,0.54,7,130,0.06271002
1003,495,400,0.56,1,174,0.064937879
1003,495,400,0.57,7,161,0.064849802
1003,495,400,0.58,10,171,0.065045863
1003,495,400,0.6,2,143,0.062497068
1003,495,400,0.61,2,166,0.061526414
1003,495,400,0.63,3,130,0.062247919
1003,495,400,0.64,4,179,0.063722903
1003,495,400,0.65,5,148,0.063307253
1003,495,400,0.67,7,168,0.062741993
1003,495,400,0.68,3,163,0.063781419
1003,495,400,0.69,1,178,0.063208317
1003,495,400,0.71,3,130,0.061439544
1003,495,400,0.72,6,169,0.064382271
1003,495,400,0.74,6,153,0.062254555
1003,495,400,0.75,3,179,0.062517579
1003,495,400,0.76,9,135,0.063286139
1003,495,400,0.78,9,174,0.063747636
1003,495,400,0.79,5,155,0.064048666
1003,495,400,0.81,5,169,0.06265814
1003,495,400,0.82,10,137,0.063093094
1003,495,400,0.83,8,163,0.06451499
1003,495,400,0.85,2,137,0.062693129
1003,495,400,0.86,2,176,0.062049445
1003,495,400,0.88,2,145,0.062548949
1003,495,400,0.89,10,169,0.063274677
1003,495,400,0.9,1,160,0.061987912
1003,495,400,0.92,2,174,0.064080639
1003,495,400,0.93,7,145,0.064510164
1003,495,400,0.94,5,168,0.061469104
1003,495,400,0.96,9,160,0.061721269
1003,495,400,0.97,7,168,0.064247743
1003,495,400,0.99,1,137,0.061707997
1003,750,500,0,5,267,0.083889547
1003,750,500,0.01,4,202,0.083543084
1003,750,500,0.03,2,257,0.083198184
1003,750,500,0.04,8,220,0.082137677
1003,750,500,0.06,4,254,0.082907249
1003,750,500,0.07,4,225,0.079857118
1003,750,500,0.08,9,249,0.083694808
1003,750,500,0.1,1,245,0.083382756
1003,750,500,0.11,9,267,0.079416804
1003,750,500,0.13,8,215,0.082093098
1003,750,500,0.14,10,272,0.083638498
1003,750,500,0.15,2,225,0.082451293
1003,750,500,0.17,1,272,0.081616027
1003,750,500,0.18,10,210,0.081596475
1003,750,500,0.19,4,267,0.080247378
1003,750,500,0.21,10,220,0.079469986
1003,750,500,0.22,6,272,0.083561072
1003,750,500,0.24,5,220,0.079606069
1003,750,500,0.25,9,262,0.080994269
1003,750,500,0.26,3,242,0.083096513
1003,750,500,0.28,1,264,0.08007923
1003,750,500,0.29,5,232,0.084229754
1003,750,500,0.31,10,269,0.083195838
1003,750,500,0.32,5,212,0.081185098
1003,750,500,0.33,10,269,0.081717698
1003,750,500,0.35,10,225,0.080369383
1003,750,500,0.36,3,252,0.080259109
1003,750,500,0.38,3,230,0.083910664
1003,750,500,0.39,9,249,0.080088615
1003,750,500,0.4,9,240,0.084270423
1003,750,500,0.42,7,249,0.084111659
1003,750,500,0.43,9,202,0.080657191
1003,750,500,0.44,9,252,0.08269374
1003,750,500,0.46,10,198,0.082319121
1003,750,500,0.47,7,267,0.081103761
1003,750,500,0.49,4,198,0.079921249
1003,750,500,0.5,3,249,0.080348267
1003,750,500,0.51,6,222,0.083441413
1003,750,500,0.53,7,254,0.082059469
1003,750,500,0.54,3,212,0.083001881
1003,750,500,0.56,4,252,0.083861392
1003,750,500,0.57,9,215,0.082428613
1003,750,500,0.58,3,257,0.07996661
1003,750,500,0.6,8,222,0.081395479
1003,750,500,0.61,9,254,0.081730993
1003,750,500,0.63,1,202,0.082782115
1003,750,500,0.64,9,252,0.081967183
1003,750,500,0.65,8,207,0.082836079
1003,750,500,0.67,9,252,0.081695017
1003,750,500,0.68,5,227,0.083621292
1003,750,500,0.69,1,247,0.079223629
1003,750,500,0.71,3,242,0.081899141
1003,750,500,0.72,9,269,0.083318625
1003,750,500,0.74,7,235,0.083572021
1003,750,500,0.75,9,267,0.083148131
1003,750,500,0.76,1,235,0.081169456
1003,750,500,0.78,1,254,0.081530779
1003,750,500,0.79,3,202,0.07923536
1003,750,500,0.81,8,264,0.07965143
1003,750,500,0.82,4,245,0.083399962
1003,750,500,0.83,10,247,0.079463729
1003,750,500,0.85,10,232,0.081137391
1003,750,500,0.86,10,257,0.081067785
1003,750,500,0.88,5,210,0.082574081
1003,750,500,0.89,9,264,0.083519621
1003,750,500,0.9,2,205,0.08376676
1003,750,500,0.92,6,262,0.080650152
1003,750,500,0.93,8,207,0.083919266
1003,750,500,0.94,10,272,0.080821428
1003,750,500,0.96,4,217,0.080103475
1003,750,500,0.97,9,249,0.084084286
1003,750,500,0.99,7,198,0.083037075
1003,1057,600,0,5,376,0.104312897
1003,1057,600,0.01,3,324,0.102497684
1003,1057,600,0.03,6,359,0.105014047
1003,1057,600,0.04,7,286,0.102345086
1003,1057,600,0.06,10,369,0.101836428
1003,1057,600,0.07,6,313,0.103505027
1003,1057,600,0.08,1,366,0.101902254
1003,1057,600,0.1,7,341,0.103884028
1003,1057,600,0.11,4,362,0.103581825
1003,1057,600,0.13,3,282,0.102485715
1003,1057,600,0.14,4,373,0.103650643
1003,1057,600,0.15,2,324,0.101462414
1003,1057,600,0.17,9,359,0.104947224
1003,1057,600,0.18,2,296,0.106102178
1003,1057,600,0.19,7,369,0.105612469
1003,1057,600,0.21,7,338,0.103546917
1003,1057,600,0.22,5,373,0.106339552
1003,1057,600,0.24,2,317,0.106152046
1003,1057,600,0.25,8,348,0.104613105
1003,1057,600,0.26,2,317,0.101017587
1003,1057,600,0.28,3,366,0.101786559
1003,1057,600,0.29,5,341,0.105942599
1003,1057,600,0.31,3,362,0.101530235
1003,1057,600,0.32,8,282,0.105942599
1003,1057,600,0.33,9,366,0.106425325
1003,1057,600,0.35,4,341,0.104467489
1003,1057,600,0.36,1,348,0.105799975
1003,1057,600,0.38,1,289,0.103394319
1003,1057,600,0.39,1,373,0.105415987
1003,1057,600,0.4,3,303,0.104855466
1003,1057,600,0.42,4,373,0.103595788
1003,1057,600,0.43,1,348,0.102463773
1003,1057,600,0.44,6,352,0.106435299
1003,1057,600,0.46,1,327,0.106316612
1003,1057,600,0.47,6,376,0.10158908
1003,1057,600,0.49,10,299,0.103609751
1003,1057,600,0.5,1,355,0.10247275
1003,1057,600,0.51,6,324,0.102610387
1003,1057,600,0.53,1,376,0.103085135
1003,1057,600,0.54,3,331,0.105486801
1003,1057,600,0.56,3,362,0.104662973
1003,1057,600,0.57,2,345,0.10698086
1003,1057,600,0.58,9,380,0.106816294
1003,1057,600,0.6,10,327,0.105067905
1003,1057,600,0.61,9,373,0.107130466
1003,1057,600,0.63,7,341,0.107526422
1003,1057,600,0.64,9,369,0.106860179
1003,1057,600,0.65,7,279,0.102393957
1003,1057,600,0.67,10,380,0.104915308
1003,1057,600,0.68,2,320,0.105080871
1003,1057,600,0.69,8,366,0.103136998
1003,1057,600,0.71,10,338,0.104149328
1003,1057,600,0.72,7,376,0.103263664
1003,1057,600,0.74,9,313,0.103235737
1003,1057,600,0.75,2,352,0.101024569
1003,1057,600,0.76,2,341,0.106122125
1003,1057,600,0.78,2,380,0.101114332
1003,1057,600,0.79,5,303,0.103900983
1003,1057,600,0.81,7,380,0.106414354
1003,1057,600,0.82,5,341,0.105632417
1003,1057,600,0.83,7,352,0.10497515
1003,1057,600,0.85,4,313,0.102031912
1003,1057,600,0.86,6,376,0.103372377
1003,1057,600,0.88,8,303,0.10313999
1003,1057,600,0.89,6,348,0.102543563
1003,1057,600,0.9,8,338,0.102458786
1003,1057,600,0.92,3,348,0.106794352
1003,1057,600,0.93,8,313,0.102454797
1003,1057,600,0.94,2,369,0.105070897
1003,1057,600,0.96,8,313,0.104653
1003,1057,600,0.97,1,376,0.107346895
1003,1057,600,0.99,8,324,0.105798977
1003,1415,700,0,2,480,0.130051489
1003,1415,700,0.01,9,462,0.132237469
1003,1415,700,0.03,7,480,0.132572046
1003,1415,700,0.04,5,443,0.130024024
1003,1415,700,0.06,1,466,0.13146345
1003,1415,700,0.07,10,415,0.130941611
1003,1415,700,0.08,3,476,0.129592071
1003,1415,700,0.1,4,420,0.12733493
1003,1415,700,0.11,3,490,0.131055217
1003,1415,700,0.13,1,462,0.128683222
1003,1415,700,0.14,6,513,0.131678178
1003,1415,700,0.15,1,392,0.134185002
1003,1415,700,0.17,9,499,0.132359814
1003,1415,700,0.18,10,438,0.129587077
1003,1415,700,0.19,4,476,0.126583383
1003,1415,700,0.21,7,406,0.127783113
1003,1415,700,0.22,6,476,0.130977815
1003,1415,700,0.24,5,378,0.133279899
1003,1415,700,0.25,9,471,0.133562041
1003,1415,700,0.26,3,452,0.134465896
1003,1415,700,0.28,9,499,0.128334914
1003,1415,700,0.29,7,401,0.128955377
1003,1415,700,0.31,2,504,0.128468494
1003,1415,700,0.32,3,466,0.128801822
1003,1415,700,0.33,10,485,0.133775521
1003,1415,700,0.35,10,452,0.127612079
1003,1415,700,0.36,2,494,0.130615774
1003,1415,700,0.38,6,382,0.131342353
1003,1415,700,0.39,7,485,0.133242446
1003,1415,700,0.4,10,424,0.127828056
1003,1415,700,0.42,4,485,0.130274956
1003,1415,700,0.43,1,452,0.127543416
1003,1415,700,0.44,7,508,0.126563408
1003,1415,700,0.46,9,387,0.133141324
1003,1415,700,0.47,7,480,0.129830519
1003,1415,700,0.49,10,387,0.126635816
1003,1415,700,0.5,9,471,0.127629557
1003,1415,700,0.51,8,452,0.134319831
1003,1415,700,0.53,6,466,0.134253665
1003,1415,700,0.54,9,457,0.13361822
1003,1415,700,0.56,8,494,0.131175065
1003,1415,700,0.57,8,448,0.12989294
1003,1415,700,0.58,10,476,0.131135116
1003,1415,700,0.6,5,401,0.128577107
1003,1415,700,0.61,9,494,0.133045196
1003,1415,700,0.63,2,392,0.134030198
1003,1415,700,0.64,4,513,0.130786807
1003,1415,700,0.65,1,420,0.132010257
1003,1415,700,0.67,3,480,0.13266318
1003,1415,700,0.68,9,378,0.131604521
1003,1415,700,0.69,7,508,0.132160067
1003,1415,700,0.71,9,392,0.132894137
1003,1415,700,0.72,8,494,0.130480945
1003,1415,700,0.74,7,448,0.130348612
1003,1415,700,0.75,1,485,0.13287666
1003,1415,700,0.76,6,434,0.127386116
1003,1415,700,0.78,10,490,0.133277402
1003,1415,700,0.79,6,382,0.131236238
1003,1415,700,0.81,2,513,0.128040287
1003,1415,700,0.82,8,396,0.128081485
1003,1415,700,0.83,6,490,0.127683239
1003,1415,700,0.85,7,424,0.128226301
1003,1415,700,0.86,10,466,0.132600759
1003,1415,700,0.88,6,396,0.126897984
1003,1415,700,0.89,4,471,0.130004049
1003,1415,700,0.9,5,457,0.131934104
1003,1415,700,0.92,7,494,0.129148882
1003,1415,700,0.93,8,424,0.129369852
1003,1415,700,0.94,1,508,0.130122649
1003,1415,700,0.96,6,378,0.130890426
1003,1415,700,0.97,10,480,0.130210038
1003,1415,700,0.99,3,443,0.130660717
1003,1824,800,0,8,644,0.159135911
1003,1824,800,0.01,1,529,0.159690129
1003,1824,800,0.03,4,625,0.163445304
1003,1824,800,0.04,8,595,0.156189802
1003,1824,800,0.06,5,644,0.161131711
1003,1824,800,0.07,7,589,0.162171062
1003,1824,800,0.08,7,656,0.164888421
1003,1824,800,0.1,8,523,0.162872663
1003,1824,800,0.11,6,638,0.158151827
1003,1824,800,0.13,7,547,0.158001375
1003,1824,800,0.14,3,638,0.15986361
1003,1824,800,0.15,2,547,0.162548729
1003,1824,800,0.17,4,656,0.162852705
1003,1824,800,0.18,6,595,0.158597045
1003,1824,800,0.19,5,650,0.162530306
1003,1824,800,0.21,3,601,0.164533783
1003,1824,800,0.22,4,625,0.155729233
1003,1824,800,0.24,1,541,0.161497096
1003,1824,800,0.25,8,607,0.159393829
1003,1824,800,0.26,1,529,0.157764949
1003,1824,800,0.28,9,650,0.155908855
1003,1824,800,0.29,7,493,0.165120241
1003,1824,800,0.31,10,662,0.15706949
1003,1824,800,0.32,8,559,0.15594263
1003,1824,800,0.33,7,650,0.163756956
1003,1824,800,0.35,1,511,0.164182215
1003,1824,800,0.36,10,650,0.156496848
1003,1824,800,0.38,4,601,0.162183344
1003,1824,800,0.39,4,644,0.156354072
1003,1824,800,0.4,5,523,0.159002346
1003,1824,800,0.42,9,619,0.156068519
1003,1824,800,0.43,3,529,0.163766167
1003,1824,800,0.44,4,644,0.165086466
1003,1824,800,0.46,2,583,0.165135594
1003,1824,800,0.47,5,619,0.162316909
1003,1824,800,0.49,10,523,0.164123876
1003,1824,800,0.5,9,662,0.156734809
1003,1824,800,0.51,9,547,0.158422028
1003,1824,800,0.53,4,613,0.163736998
1003,1824,800,0.54,5,511,0.155515836
1003,1824,800,0.56,1,656,0.159565775
1003,1824,800,0.57,7,589,0.161451039
1003,1824,800,0.58,9,613,0.164860787
1003,1824,800,0.6,1,595,0.158632355
1003,1824,800,0.61,2,613,0.165433428
1003,1824,800,0.63,8,589,0.158948612
1003,1824,800,0.64,6,613,0.161785719
1003,1824,800,0.65,10,505,0.157589933
1003,1824,800,0.67,5,607,0.161097936
1003,1824,800,0.68,1,529,0.160460815
1003,1824,800,0.69,9,619,0.15853103
1003,1824,800,0.71,5,481,0.159114417
1003,1824,800,0.72,3,619,0.159641002
1003,1824,800,0.74,3,505,0.161116359
1003,1824,800,0.75,8,650,0.161716634
1003,1824,800,0.76,10,493,0.162060526
1003,1824,800,0.78,2,644,0.159825229
1003,1824,800,0.79,3,535,0.159489014
1003,1824,800,0.81,7,619,0.165444175
1003,1824,800,0.82,2,505,0.160669606
1003,1824,800,0.83,9,662,0.160873792
1003,1824,800,0.85,3,571,0.156329508
1003,1824,800,0.86,2,632,0.160371772
1003,1824,800,0.88,1,595,0.164857717
1003,1824,800,0.89,4,632,0.160066261
1003,1824,800,0.9,5,541,0.161319009
1003,1824,800,0.92,7,656,0.16524306
1003,1824,800,0.93,9,547,0.162823536
1003,1824,800,0.94,1,644,0.163511319
1003,1824,800,0.96,8,529,0.16209123
1003,1824,800,0.97,5,607,0.158991599
1003,1824,800,0.99,4,511,0.157335085
1003,2285,900,0,7,806,0.189147886
1003,2285,900,0.01,10,686,0.199953256
1003,2285,900,0.03,5,784,0.188436077
1003,2285,900,0.04,1,746,0.195333003
1003,2285,900,0.06,9,806,0.195700988
1003,2285,900,0.07,3,738,0.199767406
1003,2285,900,0.08,10,814,0.194673233
1003,2285,900,0.1,3,731,0.19920056
1003,2285,900,0.11,4,799,0.197737914
1003,2285,900,0.13,7,686,0.192972697
1003,2285,900,0.14,8,769,0.194020896
1003,2285,900,0.15,10,708,0.189984215
1003,2285,900,0.17,1,806,0.19703168
1003,2285,900,0.18,4,693,0.194193737
1003,2285,900,0.19,4,829,0.193435466
1003,2285,900,0.21,8,610,0.190357775
1003,2285,900,0.22,6,769,0.195927726
1003,2285,900,0.24,7,746,0.194991038
1003,2285,900,0.25,9,776,0.199111352
1003,2285,900,0.26,3,603,0.191707052
1003,2285,900,0.28,6,754,0.198455298
1003,2285,900,0.29,4,723,0.191264727
1003,2285,900,0.31,6,769,0.195208483
1003,2285,900,0.32,6,678,0.188566172
1003,2285,900,0.33,6,776,0.19153607
1003,2285,900,0.35,5,746,0.196366334
1003,2285,900,0.36,5,814,0.188737155
1003,2285,900,0.38,9,738,0.192898357
1003,2285,900,0.39,5,799,0.197351344
1003,2285,900,0.4,2,686,0.191630854
1003,2285,900,0.42,9,806,0.191848299
1003,2285,900,0.43,8,716,0.191179236
1003,2285,900,0.44,4,769,0.197769509
1003,2285,900,0.46,6,731,0.189627381
1003,2285,900,0.47,2,754,0.195758602
1003,2285,900,0.49,9,663,0.199895643
1003,2285,900,0.5,7,769,0.199317646
1003,2285,900,0.51,8,693,0.188889553
1003,2285,900,0.53,5,761,0.195756743
1003,2285,900,0.54,7,671,0.197881019
1003,2285,900,0.56,2,814,0.200280354
1003,2285,900,0.57,5,633,0.192519221
1003,2285,900,0.58,4,754,0.199360392
1003,2285,900,0.6,6,693,0.197879161
1003,2285,900,0.61,2,784,0.197126464
1003,2285,900,0.63,3,716,0.191495182
1003,2285,900,0.64,4,754,0.200020163
1003,2285,900,0.65,7,731,0.197682159
1003,2285,900,0.67,7,799,0.200258052
1003,2285,900,0.68,10,754,0.197500025
1003,2285,900,0.69,1,829,0.196593072
1003,2285,900,0.71,1,663,0.19609685
1003,2285,900,0.72,8,806,0.188350585
1003,2285,900,0.74,9,754,0.198341929
1003,2285,900,0.75,10,769,0.19353025
1003,2285,900,0.76,1,731,0.192762686
1003,2285,900,0.78,3,791,0.195516996
1003,2285,900,0.79,6,708,0.191892903
1003,2285,900,0.81,3,769,0.192193982
1003,2285,900,0.82,3,746,0.192699496
1003,2285,900,0.83,3,814,0.197382939
1003,2285,900,0.85,7,678,0.197414533
1003,2285,900,0.86,4,814,0.192218142
1003,2285,900,0.88,7,618,0.192762686
1003,2285,900,0.89,10,761,0.189807656
1003,2285,900,0.9,7,648,0.193227313
1003,2285,900,0.92,4,799,0.197697027
1003,2285,900,0.93,9,754,0.190952498
1003,2285,900,0.94,5,776,0.193533967
1003,2285,900,0.96,8,723,0.193528391
1003,2285,900,0.97,5,769,0.198380958
1003,2285,900,0.99,2,656,0.194643497
1003,2797,1000,0,6,978,0.22465119
1003,2797,1000,0.01,3,913,0.237544029
